# Lineuparr v1.26.1062103
# Generated: 2026-04-16 15:05:28
# Lineup: US-CA-UK_CustomProvider-Merged_lineup.json
# Category Detail: normal
# Group Prefix: (auto)
# Match Sensitivity: exact
# Quality Ordering: True
# Rate Limiting: none
# M3U Sources: custom, 3-Crystal, 2-Dino, 1-Mega, 4-Lion (all)
# EPG Sources: EPG (all)
# Channel Profile: DirecTV
#
channel_name,channel_number,channel_group,matched_epg_name,matched_tvg_id,epg_source,confidence_score,has_program_data,match_method,status
Sky Sports Golf,308,Merged: Sports,[UK] SKY SPORTS GOLF,SkySportsGolf.uk,EPG,100,Yes,exact,Matched
Sky Sports Main Event,309,Merged: Sports,[UK] SKY SPORTS MAIN EVENT,SkySportsMainEvent.uk,EPG,100,Yes,alias,Matched
Sky Sports Mix,310,Merged: Sports,[UK] SKY SPORTS MIX,SkySportsMix.uk,EPG,100,Yes,exact,Matched
Sky Sports News,311,Merged: Sports,[UK] SKY SPORTS NEWS,SkySportsNews.uk,EPG,100,Yes,alias,Matched
Sky Sports Premier League,312,Merged: Sports,[UK] SKY SPORTS PREMIER LEAGUE,SkySportsPremierLeague.uk,EPG,100,Yes,exact,Matched
Sky Sports Tennis,313,Merged: Sports,[UK] SKY SPORTS TENNIS,SkySportsTennis.uk,EPG,100,Yes,exact,Matched
TNT Sports 1,314,Merged: Sports,,,,0,No,,No match
TNT Sports 2,315,Merged: Sports,,,,0,No,,No match
TNT Sports 3,316,Merged: Sports,,,,0,No,,No match
TNT Sports 4,317,Merged: Sports,,,,0,No,,No match
TNT Sports Box Office,318,Merged: Sports,[UK] TNT SPORTS BOX OFFICE,TNTSportsBoxOffice.uk,EPG,100,Yes,exact,Matched
TNT Sports Ultimate (UHD),319,Merged: Sports,[UK] TNT SPORT ULTIMATE,TNTSportsUltimate.uk,EPG,97,Yes,exact,Matched
Sportsnet East,400,Merged: Regional Sports,[CA] SPORTSNET EAST,SportsnetEast.ca,EPG,100,Yes,alias,Matched
Sportsnet Ontario,403,Merged: Regional Sports,[CA] SPORTSNET ONTARIO,SportsnetOntario.ca,EPG,100,Yes,alias,Matched
Sportsnet Pacific,401,Merged: Regional Sports,[CA] SPORTSNET PACIFIC,SportsnetPacific.ca,EPG,100,Yes,alias,Matched
Sportsnet West,402,Merged: Regional Sports,[CA] SPORTSNET WEST,SportsnetWest.ca,EPG,100,Yes,alias,Matched
Big 10 Network,407,Merged: Regional Sports,[US] BTN,BigTen.us,EPG,100,Fallback,alias,Matched (no programs)
Longhorn Network,408,Merged: Regional Sports,,,,0,No,,No match
Altitude Sports,409,Merged: Regional Sports,[US] ALTITUDE SPORTS,AltitudeSports.us,EPG,100,Yes,exact,Matched
Chicago Sports Network,410,Merged: Regional Sports,,,,0,No,,No match
FanDuel Sports Cincinnati,411,Merged: Regional Sports,,,,0,No,,No match
FanDuel Sports Detroit,412,Merged: Regional Sports,,,,0,No,,No match
FanDuel Sports Florida,413,Merged: Regional Sports,,,,0,No,,No match
FanDuel Sports Midwest,414,Merged: Regional Sports,,,,0,No,,No match
